Service Unit,Bill Unit,Pay Unit,Bill Rate,Pay Rate,Payroll OTUnits,Payroll UnitsWithoutOT,Payroll OTAmount,Payroll RegAmount,Total Payroll Amount,Gender,Age,Marital Status,Race,IsCaregiverTerminated,CaregiverTenureYears,Caregiver Attributes_Can do Nights,Caregiver Attributes_Can do Days
Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Female,34,Married,Caribbean Canadian,1,1,1,1
Personal Care,Hourly,Hourly,41,22,0,3,0,66,66,Female,55,Single,Middle Eastern Canadian,1,5,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32,19,0,6,0,114,114,Female,43,Single,Middle Eastern Canadian,0,1,1,1
Personal Care,Hourly,Hourly,41,21,0,12,0,252,252,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,53,Married,Middle Eastern Canadian,0,3,1,0
Personal Care,Hourly,Hourly,35,20,0,4,0,80,80,Female,58,Married,British Canadian,1,3,0,1
Personal Care,Hourly,Hourly,35,20.5,0,4,0,82,82,Male,30,Single,African Canadian,1,1,0,0
Personal Care,Hourly,Hourly,37,21.5,0,4,0,86,86,Female,49,Unknown,Middle Eastern Canadian,1,3,1,1
RPNRN Visit,Visit,Visit,140,65,0,1,0,65,65,Male,53,Married,Asian Canadian,0,11,0,1
Palliative,Hourly,Hourly,40,21,0,7,0,147,147,Female,55,Married,Caribbean Canadian,0,4,1,0
Personal Care,Hourly,Hourly,37,22.5,0,9.5,0,213.75,213.75,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Live-In,Visit,Visit,306,198,0,0.67,0,198.99,198.99,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,33,20,0,9,0,180,180,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,35,21,0,7,0,147,147,Female,41,Married,African Canadian,0,1,1,1
Personal Care,Hourly,Hourly,32,22,0,4,0,88,88,Male,33,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,34,21,0,4,0,84,84,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,31,18,0,5,0,90,90,Male,41,Married,African Canadian,1,5,0,1
Respite Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Female,42,Single,Middle Eastern Canadian,0,0,1,1
Personal Care,Hourly,Hourly,36,22,0,8,0,176,176,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Palliative,Hourly,Hourly,35,19,0,6,0,114,114,Female,73,Unknown,Caribbean Canadian,1,3,1,1
Personal Care,Hourly,Hourly,31,20,0,12,0,240,240,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,37,22,0,4,0,88,100.48,Female,58,Married,Middle Eastern Canadian,1,2,0,1
Personal Care,Hourly,Hourly,38,21.5,0,4,0,86,86,Female,50,Married,Middle Eastern Canadian,0,2,0,1
Personal Care,Hourly,Hourly,32,20,0,8,0,160,160,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,34,22,0,10,0,220,220,Female,45,Married,Asian Canadian,0,2,0,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,69,Married,Asian Canadian,1,12,0,1
Personal Care,Hourly,Hourly,40,21,0,4,0,126,126,Female,43,Married,Middle Eastern Canadian,0,1,0,1
Personal Care,Hourly,Hourly,32,20,0,7,0,140,140,Female,60,Married,Middle Eastern Canadian,1,10,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,36,21,0,7,0,147,147,Female,45,Married,Asian Canadian,1,11,0,1
Personal Care,Hourly,Hourly,35,20,0,8,0,160,160,Female,43,Married,Middle Eastern Canadian,1,3,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,34,21.5,0,10,0,215,215,Female,59,Married,Asian Canadian,0,7,0,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,55,Single,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,35,20,0,4,0,80,94.62,Female,45,Married,Asian Canadian,0,2,0,1
Personal Care,Hourly,Hourly,36,21.5,0,7,0,150.5,150.5,Female,59,Married,Middle Eastern Canadian,0,2,0,0
Personal Care,Hourly,Hourly,33,22,0,8,0,176,176,Female,42,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,35,21,0,12,0,252,252,Female,36,Married,African Canadian,1,2,1,0
Personal Care,Hourly,Hourly,32,20,0,7,0,140,140,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Personal Care,Hourly,Hourly,38,21,0,8,0,168,172.8,Female,48,Married,Middle Eastern Canadian,1,1,0,1
Personal Care,Hourly,Hourly,36,20,0,6,0,120,120,Female,62,Unknown,British Canadian,0,3,0,1
Personal Care,Hourly,Hourly,33,20,0,12,0,240,240,Male,56,Married,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,38,21.5,0,5,0,107.5,107.5,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,31,21,0,5,0,105,105,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,35,20,0,4,0,80,97.22,Female,50,Married,Middle Eastern Canadian,0,3,0,1
Personal Care,Hourly,Hourly,31,21,0,12,0,252,252,Male,55,Single,Middle Eastern Canadian,1,3,1,1
HMAP CH Visit,Visit,Hourly,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,36,22,0,9.5,0,209,209,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Palliative,Hourly,Hourly,36,22,0,12,0,264,284,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Palliative,Hourly,Hourly,35,20,0,10,0,200,200,Male,60,Married,African Canadian,1,3,1,0
Personal Care,Hourly,Hourly,35,20,0,8,0,160,160,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Live-In,Visit,Visit,448.5,292.5,0,0.41,0,179.89,179.89,Female,2,Married,African Canadian,1,5,0,1
Personal Care,Hourly,Hourly,17.5,21.5,0,4,0,86,86,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,32,21,0,7,0,147,147,Male,40,Married,Asian Canadian,1,11,1,0
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Palliative,Hourly,Hourly,36,21,0,12,0,252,272,Female,36,Married,African Canadian,0,0,1,1
Personal Care,Hourly,Hourly,34,20,0,3,0,60,60,Female,47,Married,African Canadian,1,4,1,1
Personal Care,Hourly,Hourly,40,21,5,5,105,0,105,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32,20,0,8,0,240,240,Male,56,Married,African Canadian,0,9,1,1
Palliative,Hourly,Hourly,40,22,0,12,0,264,264,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32,19,0,6,0,114,114,Female,43,Single,Middle Eastern Canadian,0,1,1,1
Personal Care,Hourly,Hourly,35,21,0,3,0,63,63,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,37,21,0,9.5,0,199.5,199.5,Male,59,Single,Hispanic or Latino Canadian,0,1,1,1
Personal Care,Hourly,Hourly,35,21.5,0,4,0,86,86,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,33,20,0,5,0,150,150,Male,52,Married,African Canadian,1,8,1,0
Personal Care,Hourly,Hourly,32,20,0,12,0,240,265,Male,52,Married,African Canadian,1,8,1,0
Personal Care,Hourly,Hourly,40,21,0,12,0,252,252,Female,34,Married,African Canadian,0,1,0,1
Personal Care,Hourly,Hourly,33,21,0,3,0,63,63,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,38,21,0,3,0,63,63,Female,53,Unknown,Middle Eastern Canadian,1,4,1,1
Personal Care,Hourly,Hourly,40,21,0,4,0,84,84,Female,43,Married,Middle Eastern Canadian,0,1,0,1
Personal Care,Hourly,Hourly,32,19,0,6,0,114,114,Female,43,Single,Middle Eastern Canadian,0,1,1,1
Personal Care,Hourly,Hourly,38,21,0,7,0,147,147,Female,57,Divorce,British Canadian,0,2,1,0
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,41,17,0,12,0,204,204,Female,34,Married,African Canadian,1,5,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,41,20,0,12,0,240,240,Female,69,Married,Asian Canadian,1,12,0,1
Personal Care,Hourly,Hourly,38,20,0,12,0,240,240,Female,50,Married,Middle Eastern Canadian,0,1,0,0
Personal Care,Hourly,Hourly,38,21.5,0,8,0,172,173.25,Female,44,Married,Asian Canadian,0,0,0,1
Personal Care,Hourly,Hourly,40,21,0,12,0,252,252,Male,60,Married,Middle Eastern Canadian,1,1,1,0
Personal Care,Hourly,Hourly,33,22,0,8,0,176,176,Female,42,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,35,19,0,8,0,152,152,Female,34,Single,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,40,22,0,12,0,264,264,Female,58,Married,Middle Eastern Canadian,1,2,0,1
Personal Care,Hourly,Hourly,33,20,0,12,0,240,240,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Personal Care,Hourly,Hourly,36,21,0,4,0,84,84,Female,38,Married,African Canadian,0,1,0,1
Palliative,Hourly,Hourly,38,21,0,11.5,0,241.5,241.5,Female,47,Unknown,Asian Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32,20,0,4.5,0,90,90,Female,32,Single,French Canadian,1,3,0,1
Personal Care,Hourly,Hourly,35,21.5,0,4,0,86,86,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Palliative,Hourly,Hourly,35,19,0,3,0,57,57,Female,48,Unknown,Middle Eastern Canadian,1,1,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,38,22,0,12,0,264,264,Female,55,Married,Middle Eastern Canadian,0,1,0,1
Personal Care,Hourly,Hourly,33,22,0,14,0,308,308,Female,45,Married,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,32,0,0,12,0,0,0,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,34,21,0,3,0,63,73,Female,49,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,40,21.5,0,12,0,258,258,Female,38,Married,Middle Eastern Canadian,0,2,1,1
Palliative,Hourly,Hourly,38,20,0,9,0,180,180,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Personal Care,Hourly,Hourly,33,22,0,8,0,176,176,Female,42,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,32,21,0,7,0,147,147,Male,40,Married,Asian Canadian,1,11,1,0
Personal Care,Hourly,Hourly,31,20,0,12,0,240,240,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Palliative,Hourly,Hourly,36,23,0,8,0,184,204,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
PSW  Shift,Hourly,Hourly,40,23,0,12,0,276,276,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,34,21.5,0,4,0,86,86,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,35,20,0,12,0,240,240,Female,55,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,38,22,3,1,66,22,88,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,32,19,0,9,0,171,171,Female,43,Single,Middle Eastern Canadian,0,1,1,1
Personal Care,Hourly,Hourly,41,21,0,12,0,252,252,Female,69,Married,Asian Canadian,1,12,0,1
Live-In,Visit,Visit,448.5,292.5,0,1,0,292.5,292.5,Female,2,Married,African Canadian,1,5,0,1
Post Operative Care,Hourly,Hourly,40,21,0,8,0,168,168,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,32,18,0,5,0,90,90,Female,52,Unknown,British Canadian,1,6,1,1
Respite Personal Care,Hourly,Hourly,43,28,0,2,0,56,56,Male,52,Married,African Canadian,1,8,1,0
Personal Care,Hourly,Hourly,44,21.5,0,6,0,129,129,Female,58,Married,Middle Eastern Canadian,1,2,0,1
Personal Care,Hourly,Hourly,36,23,0,4,0,92,92,Male,53,Married,Asian Canadian,0,11,0,1
Respite Personal Care,Hourly,Hourly,35,20,0,3.5,0,70,70,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,17.5,21.5,0,4,0,86,86,Female,49,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32,18,0,5,0,90,90,Female,40,Married,Italian Canadian,1,4,0,1
Personal Care,Hourly,Hourly,37,22,0,4,0,88,99.52,Female,50,Married,Middle Eastern Canadian,0,3,0,1
Personal Care,Hourly,Hourly,35,23,0,12,0,276,276,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,35,20,0,4,0,80,80,Female,50,Married,Middle Eastern Canadian,0,3,0,1
Personal Care,Hourly,Hourly,32,18,0,12,0,216,216,Male,33,Single,Middle Eastern Canadian,1,4,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Palliative,Hourly,Hourly,35,19,0,11.5,0,218.5,218.5,Female,47,Married,African Canadian,1,4,1,1
Personal Care,Hourly,Hourly,17.5,0,0,0,0,0,0,Female,59,Married,Middle Eastern Canadian,0,2,0,0
Personal Care,Hourly,Hourly,37,21.5,0,8,0,172,172,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Live-In,Visit,Visit,497.25,321.75,0,1,0,321.75,321.75,Female,52,Married,African Canadian,0,2,1,1
Live-In,Visit,Visit,352.5,240,0,1,0,240,240,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,35,22,0,4,0,88,166.28,Female,52,Unknown,British Canadian,1,6,1,1
Respite Personal Care,Hourly,Hourly,38,22,0,8,0,176,176,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Palliative,Hourly,Hourly,36,21,0,12,0,252,272,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,32,20,0,6,0,120,120,Female,53,Married,Middle Eastern Canadian,1,6,0,1
Personal Care,Hourly,Hourly,31,18,0,7,0,126,126,Female,55,Married,Caribbean Canadian,0,4,1,0
Respite Personal Care,Hourly,Hourly,37,0,0,10,0,0,0,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,36,22,0,4.5,0,148.5,148.5,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Palliative,Hourly,Hourly,35,20,0,2,0,40,40,Male,60,Married,African Canadian,1,3,1,0
Personal Care,Hourly,Hourly,36,21,0,9.5,0,199.5,199.5,Female,46,Married,British Canadian,1,3,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,32,22,0,10,0,220,220,Male,33,Single,Middle Eastern Canadian,1,4,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32,20,0,4.5,0,90,114.73,Female,32,Single,French Canadian,1,3,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Live-In,Visit,Visit,320,200,0,1,0,200,200,Female,0,Married,African Canadian,1,-47,1,0
Personal Care,Hourly,Hourly,38,0,0,4,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,45,Married,Asian Canadian,1,11,0,1
Personal Care,Hourly,Hourly,36,24,0,9,0,216,228.48,Female,43,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,34,21.5,0,10,0,215,215,Female,59,Married,Asian Canadian,0,7,0,1
Personal Care,Hourly,Hourly,38,21.5,0,3,0,64.5,64.5,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,32,21,0,5,0,105,105,Male,40,Married,Asian Canadian,1,11,1,0
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,34,21.5,0,10,0,215,215,Female,59,Married,Asian Canadian,0,7,0,1
Live-In,Visit,Visit,320,200,0,1,0,200,200,Female,2,Married,African Canadian,1,5,0,1
Personal Care,Hourly,Hourly,38,21.5,0,3.5,0,75.25,75.25,Female,62,Unknown,British Canadian,0,3,0,1
HMAP INCL,Hourly,Hourly,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,32,22,0,12,0,264,264,Female,53,Married,Middle Eastern Canadian,1,6,0,1
Personal Care,Hourly,Hourly,31,20,0,6,0,120,120,Female,43,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,35,20,0,4,0,80,80,Female,55,Married,Middle Eastern Canadian,1,3,0,1
Covid 19 Rapid Antigen Testing,Hourly,Hourly,60,40,0,2,0,80,80,Male,56,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,31,17,0,5,0,85,85,Female,28,Single,Middle Eastern Canadian,1,4,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,35,21,0,3,0,63,63,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,41,22,0,12,0,264,264,Female,55,Single,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,35,20,0,8,0,160,160,Female,43,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,35,20,0,4,0,80,80,Female,45,Married,Asian Canadian,0,2,0,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,69,Married,Asian Canadian,1,12,0,1
Personal Care,Hourly,Hourly,32,17,0,4,0,68,79.29,Female,40,Married,Italian Canadian,1,4,0,1
Personal Care,Hourly,Hourly,41,22,0,1.5,0,33,33,Female,45,Married,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,31,22,0,7,0,154,154,Female,43,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,33,20,0,3,0,60,60,Female,42,Unknown,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,32,18,0,4,0,72,72,Female,52,Unknown,British Canadian,1,6,1,1
Caregiver Training,Hourly,Hourly,0,21,0,1,0,21,21,Female,52,Married,Middle Eastern Canadian,0,5,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32,18,0,8,0,144,144,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,35,24,0,4,0,96,96,Female,66,Married,Caribbean Canadian,0,3,1,1
HMAP INCL,Hourly,Hourly,0,0,0,1,0,0,0,Female,76,Married,British Canadian,1,5,0,1
Personal Care,Hourly,Hourly,38,21,0,8.25,0,173.25,173.25,Female,48,Married,Middle Eastern Canadian,1,1,0,1
Personal Care,Hourly,Hourly,35,23,0,4,0,92,92,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,32,22,0,10,0,220,220,Male,33,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,32,17,0,4,0,68,118.4,Female,40,Married,Italian Canadian,1,4,0,1
Personal Care,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Respite Personal Care,Hourly,Hourly,38,22,0,12,0,264,264,Female,55,Married,Middle Eastern Canadian,0,1,0,1
Personal Care,Hourly,Hourly,31,19,0,5,0,95,95,Female,42,Unknown,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,31,18,0,12,0,216,216,Female,54,Married,Caribbean Canadian,1,5,0,1
Personal Care,Hourly,Hourly,36,21,0,12.5,0,262.5,262.5,Female,38,Married,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,32,20,0,8,0,160,185,Male,52,Married,African Canadian,1,8,1,0
Live-In,Visit,Visit,352,224,0,1,0,224,224,Female,2,Married,African Canadian,1,5,0,1
Respite Personal Care,Hourly,Hourly,37,23,0,4,0,92,92,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,38,21.5,0,4,0,86,86,Female,50,Married,Middle Eastern Canadian,0,2,0,1
Post Operative Care,Hourly,Hourly,38,21,0,4,0,84,84,Male,28,Single,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,31,20,0,12,0,240,240,Female,41,Married,Middle Eastern Canadian,1,3,1,1
Palliative,Hourly,Hourly,34.5,21,0,10,0,210,210,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,35,21.5,0,12,0,258,258,Male,56,Married,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,33,19,0,12,0,228,228,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,34,0,0,3.95,0,0,25,Female,40,Married,Italian Canadian,1,4,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Female,41,Married,African Canadian,0,1,1,1
Personal Care,Hourly,Hourly,32,20,0,12,0,240,240,Male,56,Married,African Canadian,0,9,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
